ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
1,Junor Web-разработчик,ЧП VELVET WEB DEVELOPMENT GROUP,Ташкент,3500000,,2025-06-20
2,Аналитик-разработчик в команду релевантности ответов Алисы,Яндекс,Москва,,Отвечать на сложные вопросы. Анализировать данные — структурированные и не очень. Придумывать полезные метрики. Рисовать ёмкие графики. Генерировать и проверять гипотезы. ,2025-06-02
3,Системный администратор,ПожЛабСервис ЛТД,Шымкент,400000,"Участие в аудитах и анализе уязвимостей, ведение и разбор логов безопасности. Автоматизация сетевых операций (Ansible, Python, скрипты CLI). ",2025-06-23
4,Разработчик,TJJ-company,Астана,400000,Research and develop cutting-edge DPI detection algorithms for encrypted and obfuscated traffic. Reverse-engineer and analyze traffic patterns from...,2025-06-18
5,Web разработчик,Freedom Media,Алматы,,"HTML, CSS, JavaScript: фронтенд-разработка. Языки программирования: Python, Java, PHP, JavaScript (для бэкенда), Go и другие. Фреймворки: Angular, React, Vue.js...",2025-06-26
6,Стажёр — менеджер продукта,VK,Москва,80000,"Поддержка развития продуктов СУБД и сервисов Data Platform (DBaaS + PaaS-DataServices). Взаимодействие со смежными командами (разработка, маркетинг, продажи, дизайн). ",2025-06-23
7,Senior Frontend Developer / Старший фронтэнд разработчик,Podscribe,Москва,5000,We at Podscribe measure advertisers’ campaign performance everywhere from podcasts and videos to social media platforms. We’re involved in...,2025-06-25
8,QA-Engineer/Тестировщик,Технологии управления персоналом,Москва,80000,Интернет магазин. Мобильное приложение google /apple. Кассы самообслуживания и мониторинг касс. Jira (Service Desk и управление проектами). Buildin и Confluence...,2025-06-25
9,Web-программист - стажер,Autodata,Алматы,100000,"Лучшая система аналитики товаров на Kaspi. Fastbot - Телеграм бот для поиска авто. Ну и есть конечно же такие проекты, как...",2025-06-18
10,Python-разработчик,Эвокарго,Москва,,"Evocargo создает транспорт будущего. Мы проектируем, конструируем и собираем автономные электро-грузовики, разрабатываем программное обеспечение беспилотных грузовиков и низкоуровневых компонентов. ",2025-06-25
11,Middle+ QA Specialist,VELES.FINANCE,Москва,2500,"Разработка и выполнение тестовых стратегий и планов для обеспечения качества продукта. Написание и поддержка автоматизированных тестов (UI, API, Performance, Load...",2025-06-26
12,Junior-Middle Backend Developer,БЭТНЭТИКС,Ростов-на-Дону,80000,"Разработка высокоскоростных парсеров. Отслеживание возможности парсинга интернет-ресурса (отслеживание json-запросов, API-документация, исследования возможности парсинга через html, websocket). ",2025-06-25
